yeardraft,nameplayer,idplayer
2020,Anthony Edwards,1630162
2020,James Wiseman,1630164
2020,LaMelo Ball,1630163
2020,Patrick Williams,1630172
2020,Isaac Okoro,1630171
2020,Onyeka Okongwu,1630168
2020,Killian Hayes,1630165
2020,Obi Toppin,1630167
2020,Deni Avdija,1630166
2020,Jalen Smith,1630188
2020,Devin Vassell,1630170
2020,Tyrese Haliburton,1630169
2020,Kira Lewis Jr.,1630184
2020,Aaron Nesmith,1630174
2020,Cole Anthony,1630175
2020,Isaiah Stewart,1630191
2020,Aleksej Pokusevski,1630197
2020,Josh Green,1630182
2020,Saddiq Bey,1630180
2020,Precious Achiuwa,1630173
2020,Tyrese Maxey,1630178
2020,Zeke Nnaji,1630192
2020,Leandro Bolmaro,1630195
2020,R.J. Hampton,1630181
2020,Immanuel Quickley,1630193
2020,Payton Pritchard,1630202
2020,Udoka Azubuike,1628962
2020,Jaden McDaniels,1630183
2020,Malachi Flynn,1630201
2020,Desmond Bane,1630217
2020,Tyrell Terry,1630179
2020,Vernon Carey Jr.,1630176
2020,Daniel Oturu,1630187
2020,Theo Maledon,1630177
2020,Xavier Tillman,1630214
2020,Tyler Bey,1630189
2020,Vit Krejci,1630249
2020,Saben Lee,1630240
2020,Elijah Hughes,1630190
2020,Robert Woodard II,1630218
2020,Tre Jones,1630200
2020,Nick Richards,1630208
2020,Jahmi'us Ramsey,1630186
2020,Marko Simonovic,1630250
2020,Jordan Nwora,1629670
2020,CJ Elleby,1629604
2020,Yam Madar,1630236
2020,Nico Mannion,1630185
2020,Isaiah Joe,1630198
2020,Skylar Mays,1630219
2020,Justinian Jessup,1630251
2020,Kenyon Martin Jr.,1630231
2020,Cassius Winston,1630216
2020,Cassius Stanley,1630199
2020,Jay Scrubb,1630206
2020,Grant Riller,1630203
2020,Reggie Perry,1629617
2020,Paul Reed,1630194
2020,Jalen Harris,1630223
2020,Sam Merrill,1630241
2019,Zion Williamson,1629627
2019,Ja Morant,1629630
2019,RJ Barrett,1629628
2019,De'Andre Hunter,1629631
2019,Darius Garland,1629636
2019,Jarrett Culver,1629633
