idplayer,heightwoshoesinches
2124,80.25
12019,76.5
12020,80.5
12131,77.5
2056,84.75
2081,82.0
2049,70.5
12132,76.0
12133,72.25
12134,76.25
2037,76.5
12017,79.75
2064,69.0
12018,81.75
2238,81.25
2109,71.75
12135,78.0
12136,79.5
12137,79.5
2062,72.75
2110,79.5
2078,73.75
2051,79.25
12138,74.75
12139,74.75
2083,77.5
12140,69.5
2067,71.75
2111,75.0
12141,81.25
2060,78.5
12142,78.5
12143,81.0
2077,76.0
12144,81.5
2061,81.0
2090,73.5
2058,80.0
2082,83.0
2087,77.0
12145,80.75
2508,78.25
12146,83.5
2059,78.5
12147,81.0
2084,77.5
2068,76.5
2080,74.5
12148,78.25
2072,76.75
12149,80.5
12021,70.75
2121,77.5
12022,72.0
12023,75.0
12024,72.0
2637,74.25
12025,83.5
12026,81.5
2065,78.5
2074,81.75
12027,77.25
12028,75.5
12029,73.25
12030,81.5
12033,83.5
2240,74.25
2220,75.5
2203,80.25
12034,75.0
2294,74.5
2257,83.5
12035,80.75
2214,81.5
2249,74.5
2198,82.0
2245,80.25
12031,71.0
12032,76.0
2199,83.5
2251,85.0
2439,78.25
12036,78.25
2260,81.25
2215,82.25
2241,71.5
2201,82.5
12037,81.25
2205,82.0
12038,85.0
2230,76.25
12039,78.0
12150,80.75
2386,81.5
2228,80.25
2218,75.5
-1,69.75
12151,73.5
12152,75.5
2204,81.25
2239,76.25
2213,80.0
12153,80.0
2217,83.75
12154,76.0
2212,82.25
12155,80.25
12156,76.75
2210,79.25
2798,71.75
12157,83.25
2256,82.75
2207,78.75
12158,74.0
2253,77.5
12159,73.25
12160,82.25
12161,75.25
200081,78.5
2211,81.75
12162,80.75
40046,82.25
12164,69.0
12165,70.75
12166,80.75
2202,76.75
2369,75.5
2219,77.5
12167,73.0
2243,80.75
12168,82.25
2250,78.25
2226,71.75
12169,75.75
12170,78.75
2224,72.75
12171,78.75
12172,80.5
2248,72.0
2206,79.5
2254,84.75
12040,79.75
12041,79.0
2403,81.25
2425,82.0
2486,71.75
2440,78.75
12286,78.5
2437,78.25
12287,80.25
2430,79.75
2414,82.75
2452,73.25
12288,74.5
12289,81.0
12290,82.0
2406,77.25
2446,78.75
12291,72.0
12042,84.75
12043,77.5
12044,75.5
2399,80.0
12045,69.5
2451,79.25
12046,81.25
2408,81.0
2501,79.5
12047,82.0
2400,80.75
12066,76.5
2696,72.25
12067,78.0
101219,72.75
2409,80.5
12068,74.75
12069,73.0
2617,79.75
12070,68.0
2450,79.0
2415,78.0
2407,82.0
12049,83.25
2495,82.25
2410,74.25
2435,83.75
12050,72.75
12051,81.25
12052,80.75
12053,70.0
2677,80.75
2432,75.0
12054,79.75
-1,78.25
12055,74.25
12056,79.0
12057,76.25
12058,76.5
2436,75.0
12059,81.0
2442,79.0
2457,72.25
2470,74.5
2458,76.75
12061,77.75
12062,77.25
2416,76.75
12063,81.0
2422,77.5
2453,76.75
201324,79.0
12064,80.25
12065,78.0
2447,78.75
2443,80.0
2405,80.5
2445,73.0
12297,74.75
2402,72.75
2404,80.25
2421,73.5
2398,72.25
2465,77.75
2417,79.0
2428,77.5
200995,78.75
12072,80.25
2546,78.25
2602,81.0
2559,72.25
12073,78.0
2586,76.25
2588,80.5
2547,82.25
2651,73.0
12295,81.75
2679,77.0
2555,80.75
2567,81.5
12074,80.25
2605,77.25
12075,82.0
12076,75.5
2648,78.0
2606,76.0
12077,75.5
12078,80.5
2551,71.0
12079,69.75
2584,74.5
12080,75.0
2580,76.5
12081,81.5
2618,72.75
2550,74.75
12082,80.75
12083,79.25
2572,77.25
2599,78.5
12084,80.5
12085,81.5
12086,79.75
2544,79.25
2639,82.0
2563,76.75
2592,79.25
2549,83.5
2574,78.5
12087,81.75
12088,75.75
2688,71.75
2594,78.25
2591,80.25
12089,81.5
2658,84.0
12090,78.5
12091,81.5
2545,83.5
12092,80.0
12093,79.75
12094,79.25
101248,72.75
12095,79.0
2632,77.0
2750,87.5
2694,80.0
12096,71.5
2557,73.0
12097,76.0
12098,78.0
2604,78.5
2596,81.0
12099,81.5
2552,79.25
