id,first_name,last_name,player_slug,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_abbreviation,team_city,playercode,from_year,to_year,draft_year,draft_round,draft_number,pts,ast,reb,all_star_appearances,pie
1505,Tariq,Abdul-Wahad,tariq-abdul-wahad,France,San Jose State/France,78.0,235.0,6,9,Forward-Guard,Inactive,1610612758,Kings,SAC,Sacramento,tariq_abdul-wahad,1997,2003,1997,1,11,7.8,1.1,3.3,0.0,
949,Shareef,Abdur-Rahim,shareef-abdur-rahim,USA,California/USA,81.0,245.0,12,3,Forward,Inactive,1610612763,Grizzlies,VAN,Vancouver,shareef_abdur-rahim,1996,2007,1996,1,3,18.1,2.5,7.5,1.0,
76007,John,Abramovic,john-abramovic,USA,Salem/USA,75.0,195.0,1,,Forward,Inactive,1610610031,Ironmen,PIT,Pittsburgh,HISTADD_brooms_abramovic,1946,1947,Undrafted,Undrafted,Undrafted,9.5,0.7,,0.0,
203518,Alex,Abrines,alex-abrines,Spain,FC Barcelona/Spain,78.0,200.0,2,,Guard,Inactive,0,,,,alex_abrines,2016,2018,2013,2,32,5.3,0.5,1.4,0.0,
101165,Alex,Acker,alex-acker,USA,Pepperdine/USA,77.0,185.0,2,3,Guard,Inactive,1610612746,Clippers,LAC,Los Angeles,alex_acker,2005,2008,2005,2,60,2.7,0.5,1.0,0.0,
76010,Charles,Acton,charles-acton,USA,Hillsdale/USA,78.0,210.0,0,24,Forward,Inactive,1610612745,Rockets,SDR,San Diego,HISTADD_bud_acton,1967,1967,Undrafted,Undrafted,Undrafted,3.3,0.5,2.0,0.0,
203112,Quincy,Acy,quincy-acy,USA,Baylor/USA,79.0,240.0,6,,Forward,Inactive,0,,,,quincy_acy,2012,2018,2012,2,37,4.9,0.6,3.5,0.0,
200801,Hassan,Adams,hassan-adams,USA,Arizona/USA,76.0,220.0,1,,Forward,Inactive,0,,,,hassan_adams,2006,2008,2006,2,54,2.5,0.2,1.2,0.0,
1629121,Jaylen,Adams,jaylen-adams,USA,St. Bonaventure/USA,72.0,225.0,2,,Guard,Inactive,0,,,,jaylen_adams,2018,2020,Undrafted,Undrafted,Undrafted,0.3,0.3,0.4,,-0.017
203919,Jordan,Adams,jordan-adams,USA,UCLA/USA,77.0,209.0,2,3,Guard,Inactive,1610612763,Grizzlies,MEM,Memphis,jordan_adams,2014,2015,2014,1,22,3.2,0.6,0.9,0.0,
203500,Steven,Adams,steven-adams,New Zealand,Pittsburgh/New Zealand,83.0,265.0,7,12,Center,Active,1610612740,Pelicans,NOP,New Orleans,steven_adams,2013,2020,2013,1,12,8.1,2.0,9.2,,0.093
1628389,Bam,Adebayo,bam-adebayo,USA,Kentucky/USA,81.0,255.0,3,13,Center-Forward,Active,1610612748,Heat,MIA,Miami,bam_adebayo,2017,2020,2017,1,14,19.2,5.4,9.5,,0.167
1629061,Deng,Adel,deng-adel,South Sudan,Louisville/South Sudan,79.0,200.0,1,32,Forward,Inactive,1610612739,Cavaliers,CLE,Cleveland,deng_adel,2018,2018,Undrafted,Undrafted,Undrafted,1.7,0.3,1.0,0.0,
202399,Jeff,Adrien,jeff-adrien,USA,Connecticut/USA,,,5,,,Inactive,0,,,,jeff_adrien,2010,2014,Undrafted,Undrafted,Undrafted,4.6,0.7,4.3,0.0,
201167,Arron,Afflalo,arron-afflalo,USA,UCLA/USA,77.0,210.0,11,4,Guard,Inactive,1610612753,Magic,ORL,Orlando,arron_afflalo,2007,2017,2007,1,27,10.8,1.8,2.9,0.0,
200772,Maurice,Ager,maurice-ager,USA,Michigan State/USA,77.0,202.0,3,,Forward-Guard,Inactive,0,,,,maurice_ager,2006,2010,2006,1,28,2.1,0.2,0.6,0.0,
201336,Blake,Ahearn,blake-ahearn,USA,Missouri State/USA,74.0,190.0,3,2,Guard,Inactive,1610612748,Heat,MIA,Miami,blake_ahearn,2007,2011,Undrafted,Undrafted,Undrafted,4.6,1.2,1.2,0.0,
201582,Alexis,Ajinca,alexis-ajinca,France,Hyeres-Toulon/France,86.0,248.0,7,42,Center,Inactive,1610612740,Pelicans,NOP,New Orleans,alexis_ajinca,2008,2017,2008,1,20,5.3,0.5,3.9,0.0,
203006,Josh,Akognon,josh-akognon,USA,California State-Fullerton/USA,71.0,185.0,1,10,Guard,Inactive,1610612742,Mavericks,DAL,Dallas,josh_akognon,2012,2012,Undrafted,Undrafted,Undrafted,1.7,0.3,0.3,0.0,
1629152,DeVaughn,Akoon-Purcell,devaughn-akoon-purcell,Trinidad and Tobago,Illinois State/Trinidad and Tobago,78.0,200.0,1,,Guard-Forward,Inactive,0,,,,devaughn_akoon-purcell,2018,2018,Undrafted,Undrafted,Undrafted,1.0,0.9,0.6,0.0,
202374,Solomon,Alabi,solomon-alabi,Nigeria,Florida State/Nigeria,85.0,252.0,2,50,Center,Inactive,1610612761,Raptors,TOR,Toronto,solomon_alabi,2010,2011,2010,2,50,1.5,0.2,2.3,0.0,
203128,Furkan,Aldemir,furkan-aldemir,Turkey,Galatasaray/Turkey,82.0,240.0,1,19,Forward-Center,Inactive,1610612755,76ers,PHI,Philadelphia,furkan_aldemir,2014,2014,2012,2,53,2.3,0.7,4.3,0.0,
202332,Cole,Aldrich,cole-aldrich,USA,Kansas/USA,83.0,253.0,8,45,Center,Inactive,1610612752,Knicks,NYK,New York,cole_aldrich,2010,2017,2010,1,11,3.1,0.5,3.3,0.0,
200746,LaMarcus,Aldridge,lamarcus-aldridge,USA,Texas/USA,83.0,250.0,14,12,Center-Forward,Active,1610612759,Spurs,SAS,San Antonio,lamarcus_aldridge,2006,2020,2006,1,2,13.7,1.7,4.5,,0.096
1626146,Cliff,Alexander,cliff-alexander,USA,Kansas/USA,80.0,240.0,1,34,Forward,Inactive,1610612757,Trail Blazers,POR,Portland,cliff_alexander,2015,2015,Undrafted,Undrafted,Undrafted,1.3,0.0,0.8,0.0,
724,Cory,Alexander,cory-alexander,USA,Virginia/USA,73.0,190.0,7,12,Guard,Inactive,1610612759,Spurs,SAS,San Antonio,cory_alexander,1995,2004,1995,1,29,5.5,2.7,1.6,0.0,
2042,Courtney,Alexander,courtney-alexander,USA,Fresno State/USA,77.0,205.0,3,32,Guard,Inactive,1610612764,Wizards,WAS,Washington,courtney_alexander,2000,2003,2000,1,13,9.0,1.2,2.2,0.0,
76022,Gary,Alexander,gary-alexander,USA,South Florida/USA,79.0,240.0,0,16,Forward,Inactive,1610612739,Cavaliers,CLE,Cleveland,HISTADD_gary_alexander,1993,1993,Undrafted,Undrafted,Undrafted,1.7,0.2,1.4,0.0,
201570,Joe,Alexander,joe-alexander,USA,West Virginia/USA,80.0,230.0,2,20,Forward,Inactive,1610612749,Bucks,MIL,Milwaukee,joe_alexander,2008,2009,2008,1,8,4.2,0.7,1.8,0.0,
1629734,Kyle,Alexander,kyle-alexander,Canada,Tennessee/Canada,82.0,216.0,1,17,Forward-Center,Inactive,1610612748,Heat,MIA,Miami,kyle_alexander,2019,2019,Undrafted,Undrafted,Undrafted,1.0,0.0,1.5,0.0,
1629638,Nickeil,Alexander-Walker,nickeil-alexander-walker,Canada,Virginia Tech/Canada,78.0,205.0,1,6,Guard,Active,1610612740,Pelicans,NOP,New Orleans,nickeil_alexander-walker,2019,2020,2019,1,17,9.2,1.9,2.8,,0.089
1628959,Rawle,Alkins,rawle-alkins,USA,Arizona/USA,77.0,225.0,1,20,Guard,Inactive,1610612741,Bulls,CHI,Chicago,rawle_alkins,2018,2018,Undrafted,Undrafted,Undrafted,3.7,1.3,2.6,0.0,
1628960,Grayson,Allen,grayson-allen,USA,Duke/USA,76.0,198.0,2,3,Guard,Active,1610612763,Grizzlies,MEM,Memphis,grayson_allen,2018,2020,2018,1,21,9.5,2.1,3.1,,0.085
1628386,Jarrett,Allen,jarrett-allen,USA,Texas/USA,83.0,243.0,3,31,Center,Active,1610612739,Cavaliers,CLE,Cleveland,jarrett_allen,2017,2020,2017,1,22,12.9,1.6,9.9,,0.147
706,Jerome,Allen,jerome-allen,USA,Pennsylvania/USA,76.0,184.0,1,53,Guard,Inactive,1610612754,Pacers,IND,Indiana,jerome_allen,1995,1996,1995,2,49,2.9,1.7,1.1,0.0,
1628443,Kadeem,Allen,kadeem-allen,USA,Arizona/USA,73.0,200.0,2,,Guard,Inactive,0,,,,kadeem_allen,2017,2019,2017,2,53,5.5,2.3,1.5,0.0,
202730,Lavoy,Allen,lavoy-allen,USA,Temple/USA,81.0,260.0,6,5,Forward-Center,Inactive,1610612754,Pacers,IND,Indiana,lavoy_allen,2011,2016,2011,2,50,4.8,1.0,4.8,0.0,
2124,Malik,Allen,malik-allen,USA,Villanova/USA,82.0,255.0,10,35,Forward,Inactive,1610612748,Heat,MIA,Miami,malik_allen,2001,2010,Undrafted,Undrafted,Undrafted,4.9,0.5,2.8,0.0,
76025,Randy,Allen,randy-allen,USA,Florida State/USA,80.0,220.0,1,33,Forward,Inactive,1610612758,Kings,SAC,Sacramento,HISTADD_randy_allen,1988,1989,Undrafted,Undrafted,Undrafted,3.6,0.3,2.1,0.0,
951,Ray,Allen,ray-allen,USA,Connecticut/USA,77.0,205.0,17,34,Guard,Inactive,1610612749,Bucks,MIL,Milwaukee,ray_allen,1996,2013,1996,1,5,18.9,3.4,4.1,10.0,
2754,Tony,Allen,tony-allen,USA,Oklahoma State/USA,76.0,213.0,13,,Guard-Forward,Inactive,0,,,,tony_allen,2004,2017,2004,1,25,8.1,1.3,3.5,0.0,
200984,Lance,Allred,lance-allred,USA,Weber State/USA,83.0,250.0,1,41,Center,Inactive,1610612739,Cavaliers,CLE,Cleveland,lance_allred,2007,2007,Undrafted,Undrafted,Undrafted,1.0,0.0,0.3,0.0,
201165,Morris,Almond,morris-almond,USA,Rice/USA,78.0,225.0,3,21,Guard,Inactive,1610612762,Jazz,UTA,Utah,morris_almond,2007,2011,2007,1,25,3.1,0.3,1.2,0.0,
1747,Rafer,Alston,rafer-alston,USA,Fresno State/USA,74.0,175.0,10,11,Guard,Inactive,1610612745,Rockets,HOU,Houston,rafer_alston,1999,2009,1998,2,39,10.1,4.8,2.8,0.0,
1824,Peter,Aluma,peter-aluma,USA,Liberty/USA,82.0,260.0,0,,Center,Inactive,0,,,,peter_aluma,1998,1998,Undrafted,Undrafted,Undrafted,1.0,0.0,1.0,0.0,
680,John,Amaechi,john-amaechi,United Kingdom,Penn State/United Kingdom,82.0,270.0,5,13,Forward-Center,Inactive,1610612753,Magic,ORL,Orlando,john_amaechi,1995,2002,Undrafted,Undrafted,Undrafted,6.2,0.8,2.6,0.0,
732,Ashraf,Amaya,ashraf-amaya,USA,Southern Illinois/USA,80.0,230.0,1,,Forward,Inactive,0,,,,ashraf_amaya,1995,1996,Undrafted,Undrafted,Undrafted,4.5,0.4,4.2,0.0,
202329,Al-Farouq,Aminu,al-farouq-aminu,USA,Wake Forest/USA,80.0,220.0,10,2,Forward,Active,1610612753,Magic,ORL,Orlando,al-farouq_aminu,2010,2020,2010,1,8,5.4,1.8,5.1,,0.079
200811,Lou,Amundson,lou-amundson,USA,UNLV/USA,81.0,220.0,10,17,Forward,Inactive,1610612756,Suns,PHX,Phoenix,lou_amundson,2006,2015,Undrafted,Undrafted,Undrafted,3.7,0.4,3.6,0.0,
2365,Chris,Andersen,chris-andersen,USA,Blinn J.C./USA,82.0,245.0,14,,Forward-Center,Inactive,0,,,,chris_andersen,2001,2016,Undrafted,Undrafted,Undrafted,5.4,0.5,5.0,0.0,
2431,David,Andersen,david-andersen,Australia,FC Barcelona/Australia,,,19,,,Inactive,0,,,,david_andersen,2009,2017,2002,2,36,4.9,0.6,2.8,0.0,
101187,Alan,Anderson,alan-anderson,USA,Michigan State/USA,78.0,220.0,8,9,Forward-Guard,Inactive,1610612751,Nets,BKN,Brooklyn,alan_anderson,2005,2016,Undrafted,Undrafted,Undrafted,7.3,1.1,2.2,0.0,
202079,Antonio,Anderson,antonio-anderson,USA,Memphis/USA,78.0,215.0,1,,Guard,Inactive,0,,,,antonio_anderson,2009,2009,Undrafted,Undrafted,Undrafted,2.0,0.0,1.0,0.0,
1507,Derek,Anderson,derek-anderson,USA,Kentucky/USA,77.0,195.0,11,1,Guard,Inactive,1610612757,Trail Blazers,POR,Portland,derek_anderson,1997,2007,1997,1,13,12.0,3.4,3.2,0.0,
944,Eric,Anderson,eric-anderson,USA,Indiana/USA,81.0,220.0,1,42,Forward,Inactive,1610612752,Knicks,NYK,New York,eric_anderson,1992,1993,Undrafted,Undrafted,Undrafted,1.6,0.2,1.1,0.0,
202341,James,Anderson,james-anderson,USA,Oklahoma State/USA,78.0,213.0,5,5,Guard-Forward,Inactive,1610612759,Spurs,SAS,San Antonio,james_anderson,2010,2015,2010,1,20,5.8,1.2,2.3,0.0,
1626147,Justin,Anderson,justin-anderson,USA,Virginia/USA,77.0,231.0,5,10,Forward-Guard,Inactive,1610612751,Nets,BKN,Brooklyn,justin_anderson,2015,2019,2015,1,21,5.2,0.7,2.5,0.0,
203937,Kyle,Anderson,kyle-anderson,USA,UCLA/USA,81.0,230.0,6,1,Forward-Guard,Active,1610612763,Grizzlies,MEM,Memphis,kyle_anderson,2014,2020,2014,1,30,12.8,3.4,5.8,,0.124
201583,Ryan,Anderson,ryan-anderson,USA,California/USA,81.0,240.0,11,,Forward,Inactive,0,,,,ryan_anderson,2008,2019,2008,1,21,12.3,0.9,5.3,0.0,
1000,Shandon,Anderson,shandon-anderson,USA,Georgia/USA,78.0,215.0,9,49,Guard-Forward,Inactive,1610612752,Knicks,NYK,New York,shandon_anderson,1996,2005,1996,2,54,7.4,1.4,3.1,0.0,
