slugseason,nameteam,nameplayer,value
2020-21,Atlanta Hawks,Bogdan Bogdanovic,18000000
2021-22,Atlanta Hawks,Bogdan Bogdanovic,18000000
2022-23,Atlanta Hawks,Bogdan Bogdanovic,18000000
2023-24,Atlanta Hawks,Bogdan Bogdanovic,18000000
2020-21,Atlanta Hawks,Brandon Goodwin,1701593
2021-22,Atlanta Hawks,Brandon Goodwin,2126991
2020-21,Atlanta Hawks,Bruno Fernando,1517981
2021-22,Atlanta Hawks,Bruno Fernando,1782621
2022-23,Atlanta Hawks,Bruno Fernando,2228276
2020-21,Atlanta Hawks,Cam Reddish,4458000
2021-22,Atlanta Hawks,Cam Reddish,4670160
2022-23,Atlanta Hawks,Cam Reddish,5954454
2023-24,Atlanta Hawks,Cam Reddish,8109966
2020-21,Atlanta Hawks,Clint Capela,16000000
2021-22,Atlanta Hawks,Clint Capela,17103448
2022-23,Atlanta Hawks,Clint Capela,18206896
2020-21,Atlanta Hawks,Danilo Gallinari,19500000
2021-22,Atlanta Hawks,Danilo Gallinari,20475000
2022-23,Atlanta Hawks,Danilo Gallinari,21450000
2020-21,Atlanta Hawks,De'Andre Hunter,7422000
2021-22,Atlanta Hawks,De'Andre Hunter,7775400
2022-23,Atlanta Hawks,De'Andre Hunter,9835881
2023-24,Atlanta Hawks,De'Andre Hunter,12973527
2020-21,Atlanta Hawks,John Collins,4137302
2021-22,Atlanta Hawks,John Collins,7705447
2020-21,Atlanta Hawks,Kevin Huerter,2761920
2021-22,Atlanta Hawks,Kevin Huerter,4253357
2022-23,Atlanta Hawks,Kevin Huerter,6065287
2020-21,Atlanta Hawks,Khyri Thomas,744684
2020-21,Atlanta Hawks,Kris Dunn,4767000
2021-22,Atlanta Hawks,Kris Dunn,5005350
2020-21,Atlanta Hawks,Lou Williams,8000000
2020-21,Atlanta Hawks,Onyeka Okongwu,5813640
2021-22,Atlanta Hawks,Onyeka Okongwu,6104280
2022-23,Atlanta Hawks,Onyeka Okongwu,6395160
2023-24,Atlanta Hawks,Onyeka Okongwu,8109063
2024-25,Atlanta Hawks,Onyeka Okongwu,10817490
2020-21,Atlanta Hawks,Solomon Hill,1620564
2020-21,Atlanta Hawks,Tony Snell,12178571
2020-21,Atlanta Hawks,Trae Young,6571800
2021-22,Atlanta Hawks,Trae Young,8326471
2022-23,Atlanta Hawks,Trae Young,11040900
2020-21,Boston Celtics,Aaron Nesmith,3458400
2021-22,Boston Celtics,Aaron Nesmith,3631200
2022-23,Boston Celtics,Aaron Nesmith,3804360
2023-24,Boston Celtics,Aaron Nesmith,5634257
2024-25,Boston Celtics,Aaron Nesmith,7837251
2020-21,Boston Celtics,Carsen Edwards,1517981
2021-22,Boston Celtics,Carsen Edwards,1782621
2022-23,Boston Celtics,Carsen Edwards,1930681
2020-21,Boston Celtics,Demetrius Jackson,92857
2021-22,Boston Celtics,Demetrius Jackson,92857
2022-23,Boston Celtics,Demetrius Jackson,92857
2023-24,Boston Celtics,Demetrius Jackson,92857
2020-21,Boston Celtics,Evan Fournier,17450000
2020-21,Boston Celtics,Grant Williams,2498760
2021-22,Boston Celtics,Grant Williams,2617800
2022-23,Boston Celtics,Grant Williams,4306281
2023-24,Boston Celtics,Grant Williams,6235495
2020-21,Boston Celtics,Guerschon Yabusele,1039080
2021-22,Boston Celtics,Guerschon Yabusele,1039080
2020-21,Boston Celtics,Jaylen Brown,23437500
2021-22,Boston Celtics,Jaylen Brown,25312500
2022-23,Boston Celtics,Jaylen Brown,27187500
2023-24,Boston Celtics,Jaylen Brown,29062501
2020-21,Boston Celtics,Jayson Tatum,9897120
2021-22,Boston Celtics,Jayson Tatum,28103500
2022-23,Boston Celtics,Jayson Tatum,30351780
2023-24,Boston Celtics,Jayson Tatum,32600060
2024-25,Boston Celtics,Jayson Tatum,34848340
2020-21,Boston Celtics,Kemba Walker,34379100
2021-22,Boston Celtics,Kemba Walker,36016200
2022-23,Boston Celtics,Kemba Walker,37653300
2020-21,Boston Celtics,Luke Kornet,2250000
2020-21,Boston Celtics,Marcus Smart,13446428
2021-22,Boston Celtics,Marcus Smart,14339285
2020-21,Boston Celtics,Moritz Wagner,2161920
2020-21,Boston Celtics,Payton Pritchard,2035800
2021-22,Boston Celtics,Payton Pritchard,2137440
2022-23,Boston Celtics,Payton Pritchard,2239200
2023-24,Boston Celtics,Payton Pritchard,4037277
2024-25,Boston Celtics,Payton Pritchard,5959022
2020-21,Boston Celtics,Robert Williams,2029920
2021-22,Boston Celtics,Robert Williams,3661976
2022-23,Boston Celtics,Robert Williams,5430710
2020-21,Boston Celtics,Romeo Langford,3631200
2021-22,Boston Celtics,Romeo Langford,3804360
2022-23,Boston Celtics,Romeo Langford,5634257
2023-24,Boston Celtics,Romeo Langford,7837251
2020-21,Boston Celtics,Semi Ojeleye,1752950
2021-22,Boston Celtics,Tacko Fall,1669178
2021-22,Boston Celtics,Tremont Waters,1669178
2020-21,Boston Celtics,Tristan Thompson,9258000
2021-22,Boston Celtics,Tristan Thompson,9720900
2020-21,Brooklyn Nets,Alize Johnson,110998
2020-21,Brooklyn Nets,Andre Roberson,163818
2020-21,Brooklyn Nets,Blake Griffin,776873
2020-21,Brooklyn Nets,Bruce Brown Jr,1663861
2021-22,Brooklyn Nets,Bruce Brown Jr,4736102
2021-22,Brooklyn Nets,Chris Chiozza,1729217
2020-21,Brooklyn Nets,DeAndre Jordan,10375678
2021-22,Brooklyn Nets,DeAndre Jordan,9881598
2022-23,Brooklyn Nets,DeAndre Jordan,9821842
2020-21,Brooklyn Nets,Iman Shumpert,447155
2020-21,Brooklyn Nets,James Harden,41254920
2021-22,Brooklyn Nets,James Harden,44310840
2022-23,Brooklyn Nets,James Harden,47366760
2020-21,Brooklyn Nets,Jeff Green,1620564
2020-21,Brooklyn Nets,Joe Harris,16071429
2021-22,Brooklyn Nets,Joe Harris,17357143
2022-23,Brooklyn Nets,Joe Harris,18642857
2023-24,Brooklyn Nets,Joe Harris,19928571
2020-21,Brooklyn Nets,Kevin Durant,40108950
2021-22,Brooklyn Nets,Kevin Durant,42018900
2022-23,Brooklyn Nets,Kevin Durant,43928850
2020-21,Brooklyn Nets,Kyrie Irving,33460350
2021-22,Brooklyn Nets,Kyrie Irving,35053700
2022-23,Brooklyn Nets,Kyrie Irving,36647050
2020-21,Brooklyn Nets,LaMarcus Aldridge,554988
2020-21,Brooklyn Nets,Landry Shamet,2090040
2021-22,Brooklyn Nets,Landry Shamet,3768342
2022-23,Brooklyn Nets,Landry Shamet,5562073
2020-21,Brooklyn Nets,Nicolas Claxton,1517981
2021-22,Brooklyn Nets,Nicolas Claxton,1782621
2022-23,Brooklyn Nets,Nicolas Claxton,2228276
2020-21,Brooklyn Nets,Noah Vonleh,263995
2020-21,Brooklyn Nets,Norvel Pelle,217845
2020-21,Brooklyn Nets,Spencer Dinwiddie,11454048
2021-22,Brooklyn Nets,Spencer Dinwiddie,12302496
2020-21,Brooklyn Nets,Timothe LuwawuCabarrot,1824003
2020-21,Brooklyn Nets,Tyler Cook,99020
2020-21,Brooklyn Nets,Tyler Johnson,1620564
