nameteam,slugteam,x2020_21,x2021_22,x2022_23
Atlanta Hawks,ATL,118647039,95496087,59656896
Boston Celtics,BOS,132032864,132077647,95626895
Brooklyn Nets,BKN,168854452,165982367,157168219
Charlotte Hornets,CHA,108218809,83125939,44614401
Chicago Bulls,CHI,128963580,96304124,22000000
Cleveland Cavaliers,CLE,128629143,90652433,46041645
Dallas Mavericks,DAL,127507823,84970945,59071146
Denver Nuggets,DEN,129184135,125136013,74392370
Detroit Pistons,DET,116973878,103380107,35197488
Golden State Warriors,GSW,170467299,160106508,101953999
Houston Rockets,HOU,132836984,92796702,90368533
Indiana Pacers,IND,129408812,116253392,84188736
Los Angeles Clippers,LAC,138604159,144294736,80128634
Los Angeles Lakers,LAL,138326578,119994657,109460411
Memphis Grizzlies,MEM,131564083,87045462,25732621
Miami Heat,MIA,134303159,77828964,68001300
Milwaukee Bucks,MIL,135289205,143531830,135507831
Minnesota Timberwolves,MIN,130280289,131265754,88301065
New Orleans Pelicans,NOP,133689123,91418170,68952429
New York Knicks,NYK,97613692,48017364,0
Oklahoma City Thunder,OKC,91599911,49837674,35107300
Orlando Magic,ORL,121651624,101547799,45400000
Philadelphia 76ers,PHI,147401509,129159871,118760387
Phoenix Suns,PHO,128858241,124828321,57182200
Portland Trail Blazers,POR,131426055,131543365,83427762
Sacramento Kings,SAC,105952605,100041976,69723001
San Antonio Spurs,SAS,127903078,58174145,46555606
Toronto Raptors,TOR,128541542,88847935,74055815
Utah Jazz,UTA,136048278,130397746,120253320
Washington Wizards,WAS,131265055,120309003,100325777
